Animal Crossing: New Leaf,"Nintendo EAD Group No. 2
Development Support:
SRD Co., Ltd.
Monolith Soft",Nintendo,0,No data
Little Inferno,Tomorrow Corporation,Tomorrow Corporation,0,Single-player
Total War: Rome II,The Creative Assembly,Sega,0,"Single-player, multiplayer"
Cloudberry Kingdom,Pwnee Studios,Ubisoft,0,"Single-player, Multiplayer"
Fire Emblem Awakening,"Intelligent Systems
Nintendo SPD",Nintendo,0,"Single player, Multiplayer"
Zoombies: Animales de la Muerte,High Voltage Software,MTV Games,0,"Single-player, multiplayer"
Fist of Awesome,Fight Bears,No data,0,No data
F1 2013,"Codemasters Birmingham
Feral Interactive (Mac OS X)[1]","Codemasters
Feral Interactive (Mac OS X)
Namco Bandai (Console version, UK only)[2]",0,"Single-player, multiplayer"
Alien Rage,CI Games,No data,0,"Single player, multiplayer"
Dementium II,"Renegade Kid
Memetic Games (HD)","SouthPeak Interactive

JP Intergrow

Digital Tribe Games (HD)",0,No data
Rise of the Triad,Interceptor Entertainment,Apogee Software,0,"Single-player
Multiplayer"
Retro City Rampage,Vblank Entertainment,"D3 Publisher (XBLA)[1]
Vblank Entertainment (all other platforms)",0,Single-player
Mortal Kombat,"NetherRealm Studios[1]
High Voltage Software (PC)",Warner Bros. Interactive Entertainment,0,"Single-player, multiplayer"
SimCity,Maxis,Electronic Arts,0,"Single-player, multiplayer[1]"
Grand Theft Auto: San Andreas,Rockstar North,"WW Rockstar Games


JP Capcom",0,"Single-player, multiplayer"
San Andreas,Rockstar North,"WW Rockstar Games


JP Capcom",0,"Single-player, multiplayer"
Fighter Within,Daoka,Ubisoft,0,Single-player
Diablo III,Blizzard Entertainment,"Blizzard Entertainment

JP Square Enix",0,"Single-player, multiplayer"
Unchained Blades,FuRyu,"JP FuRyu
NA Xseed Games",0,Single player
Max Payne 3,Rockstar Studios[a],Rockstar Games,0,"Single-player, multiplayer"
Antichamber,Alexander Bruce,No data,0,Single-player
Terraria,"Re-Logic
Engine Software (consoles)
Codeglue (mobile)","Re-Logic
505 Games
Spike Chunsoft (Japan)",0,"Single-player, multiplayer"
Slender: The Arrival,Blue Isle Studios,"Blue Isle Studios
Midnight City (Consoles)",0,Single-player
Dead Island: Riptide,Techland,Deep Silver,0,"Single-player, multiplayer"
Flashback,VectorCell,Ubisoft,0,Single-player
Alien Breed,Team17,"Team17, MicroLeague",0,"Single player, two player"
Injustice: Gods Among Us,"NetherRealm Studios
High Voltage Software (PS4, PC)
Armature Studio (PSVita)",Warner Bros. Interactive Entertainment,0,"Single-player, multiplayer"
