The Witness,"Thekla, Inc.","Thekla, Inc.[1]",No data,Single-player
Dawngate,Waystone Games,Electronic Arts,No data,Multiplayer
Diablo III,Blizzard Entertainment,"Blizzard Entertainment

JP Square Enix",No data,"Single-player, multiplayer"
Terraria,"Re-Logic
Engine Software (consoles)
Codeglue (mobile)","Re-Logic
505 Games
Spike Chunsoft (Japan)",No data,"Single-player, multiplayer"
Slender: The Arrival,Blue Isle Studios,"Blue Isle Studios
Midnight City (Consoles)",No data,Single-player
htoL#NiQ,Nippon Ichi Software,Nippon Ichi Software,No data,No data
Outland,Housemarque,Ubisoft,No data,"Single-player, multiplayer"
Plants vs. Zombies: Garden Warfare,PopCap Games,Electronic Arts,No data,Multiplayer
Deus Ex: The Fall,"Eidos Montreal
N-Fusion Interactive",Square Enix,No data,Single-player
Alien: Isolation,The Creative Assembly,Sega,No data,Single-player
Angry Birds Stella,Rovio Entertainment,Rovio Entertainment,No data,Single-player
Donkey Kong Country: Tropical Freeze,"Retro Studios,
Monster Games,
Nintendo SPD",Nintendo,No data,"Single-player, multiplayer"
Poptropica,Jeff Kinney Group,Family Education Network,No data,Single and multiplayer
"Modern Combat:
Sandstorm",Gameloft,Gameloft,No data,"Single player, Multiplayer"
Grid Autosport,Codemasters,Codemasters,No data,"Single-player, multiplayer"
Samurai Warriors 4,Omega Force,Tecmo Koei,No data,"Single-player, Multiplayer"
Halo: The Master Chief Collection,"343 Industries
Bungie

Additional work by:

Saber Interactive
Certain Affinity
Ruffian Games",Microsoft Studios,No data,"Single-player
Multiplayer"
Sid Meier's Civilization Revolution 2,Firaxis Games,2K Games,No data,"Single-player, multiplayer"
MotoGP 14,Milestone S.r.l.,"EU Milestone S.r.l.
NA Bandai Namco Games",No data,"Single-player, multiplayer"
Don Bradman Cricket 14,Big Ant Studios,Tru Blu Entertainment,No data,"Single-player, Multiplayer"
Tales from Space: Mutant Blobs Attack,Drinkbox Studios,No data,No data,Single-player
TowerFall,Matt Thorson,No data,No data,"Single-player, multiplayer"
Bound by Flame,Spiders,Focus Home Interactive,No data,Single-player
Assassin's Creed III: Liberation,"Ubisoft Sofia[1]
Ubisoft Milan[2]",Ubisoft,No data,"Single-player, multiplayer[1]"
Thomas Was Alone,"Mike Bithell (PC)
Bossa Studios (iOS, Android)
Curve Studios (PS3, PS4, Wii U, Xbox One, Vita)","Mike Bithell (PC)
Bossa Studios (iOS, Android)
Curve Studios (PS3, PS4, Wii U, Xbox One, Vita)",No data,Single-player
Record of Agarest War 2,"Idea Factory
Red Entertainment
Laughing Jackal (PC)","JP Compile Heart
NA Aksys Games
EU Ghostlight",No data,Single-player
Escape Goat,MagicalTimeBean,MagicalTimeBean,No data,No data
Tales of Symphonia Chronicles,"Namco Bandai Games
tri-Crescendo[1]",Namco Bandai Games,No data,Single-player Multi-player
Basement Crawl,Bloober Team,Bloober Team,No data,"Singleplayer, Multiplayer"
Unrest,Pyrodactyl Games,Kiss LTD,No data,Single-player
Need for Speed Rivals,"Ghost Games

Additional work by:

Criterion Games[1]
Ghost Games UK[2]
EA Vancouver",Electronic Arts,No data,"Single-player, multiplayer"
How to Survive,EKO Software,505 Games,No data,Single-player
Warriors Orochi 3,Omega Force,Tecmo Koei,No data,"Single-player, Multiplayer"
Alone in the Dark: Illumination,Pure FPS,Atari,No data,Multi-player
Harvest Moon: The Lost Valley,Natsume,Natsume,No data,Single-player
Lego Marvel Super Heroes,TT Games,"Warner Bros. Interactive Entertainment
Feral Interactive (OS X) [1]",No data,"Single-player, multiplayer"
The Walking Dead,Telltale Games,"Telltale Games
Sony Computer Entertainment (Vita)",No data,Single-player
Disgaea 4: A Promise Unforgotten,Nippon Ichi Software,"JP Nippon Ichi Software
WW NIS America",No data,Single-player
Escape Dead Island,Fatshark,Deep Silver,No data,No data
Haunted House,"Atari, Inc.","Atari, Inc.",No data,Single player
Diablo III: Reaper of Souls,Blizzard Entertainment,"Blizzard Entertainment

JP Square Enix",No data,"Single-player, multiplayer"
Tesla Effect: A Tex Murphy Adventure,Big Finish Games,Atlus,No data,Single-player
Infamous Second Son,Sucker Punch Productions,Sony Computer Entertainment,No data,Single-player
Trials Fusion,"RedLynx
Ubisoft Shanghai
Ubisoft Ukraine",Ubisoft,No data,"Single-player, Multiplayer"
Ragnarok Odyssey,Game Arts,"GungHo Online Entertainment

NA Marvelous USA[1]",No data,"Single-player, multiplayer, online multiplayer"
Moebius: Empire Rising,Pinkerton Road Studio,Phoenix Online Publishing,No data,Single-player
Final Fantasy XIV: A Realm Reborn,Square Enix,"Square Enix
CN Shanda Games
KOR Actoz Soft",No data,Multiplayer
Forza Horizon 2,"Playground Games (XBO)
Sumo Digital (X360)
Turn 10 Studios",Microsoft Studios,No data,"Single-player, multiplayer"
Dead State,DoubleBear Productions,No data,No data,No data
Skylanders: Trap Team,"Toys for Bob

Additional work by:

Beenox[1] (Wii U, PS4, XOne, 3DS)
Vicarious Visions (iOS, Android, Fire OS)",Activision,No data,"Single-player
Cooperative multiplayer
Competitive PvP
Online multiplayer"
Phoenix Wright: Ace Attorney,Capcom,"Capcom, Nintendo Australia",No data,Single player
Disney Magical World,"h.a.n.d.
Bandai Namco Games","JP Bandai Namco Games
WW Nintendo",No data,No data
Project Spark,"Team Dakota
SkyBox Labs",Microsoft Studios,No data,"Single player, multiplayer"
Grand Theft Auto V,Rockstar North[a],Rockstar Games,No data,"Single-player, multiplayer"
Mercenary Kings,Tribute Games,Tribute Games,No data,"Single-player, Multiplayer"
Wolfenstein: The New Order,MachineGames,Bethesda Softworks,No data,Single-player
BlazBlue: Chrono Phantasma,Arc System Works,"JP Arc System Works
NA Aksys Games",No data,"Single-player, multiplayer"
Vib-Ribbon,NanaOn-Sha,Sony Computer Entertainment,No data,Single-player
Tropico 5,Haemimont Games,Kalypso Media,No data,"Single-player, multiplayer"
Child of Light,"Ubisoft Montreal
Ubisoft Massive
Ubisoft Romania",Ubisoft,No data,"Single-player, multiplayer"
War of the Vikings,Fatshark,Paradox Interactive,No data,Multiplayer
The Wolf Among Us,Telltale Games,Telltale Games,No data,Single-player
Satellite Reign,5 Lives Studios,No data,No data,Single-player
Goat Simulator,"Coffee Stain Studios
Double Eleven (Xbox One version)[1]",No data,No data,"Single-player, Local multiplayer"
Football Manager 2014,Sports Interactive,Sega,No data,No data
Enemy Front,CI Games,Bandai Namco Games,No data,"Single-player, multiplayer"
WWE 2K15,"Visual Concepts
Yuke's",2K Sports,No data,"Single player
Multiplayer"
Surgeon Simulator 2013,Bossa Studios,Bossa Studios,No data,Single-player
NHL 15,EA Canada,EA Sports,No data,"Single-player, Multiplayer, Online multiplayer"
Galak-Z: The Dimensional,17-BIT,17-BIT,No data,Single-player
Halo: Spartan Assault,"343 Industries
Vanguard Entertainment",Microsoft Studios,No data,Single-player
One Piece: Unlimited World Red,Ganbarion,Bandai Namco Games,No data,"Single Player
Multi Player"
Forza Motorsport 5,Turn 10 Studios,Microsoft Studios,No data,"Single-player, split-screen, online multiplayer"
Far Cry 4,"Ubisoft Montreal

Additional work by:

Ubisoft Kiev
Ubisoft Red Storm
Ubisoft Shanghai
Ubisoft Toronto",Ubisoft,No data,"Single-player, multiplayer"
Sid Meier's Civilization: Beyond Earth,Firaxis Games,2K Games,No data,"Single-player
Multiplayer"
NAtURAL DOCtRINE,Kadokawa Games,"JP Kadokawa Games
NA NIS America",No data,No data
Steel Diver,"Nintendo EAD Group No. 5
Vitei",Nintendo,No data,"Single-player, multiplayer"
Steel Diver: Sub Wars,"Nintendo EAD Group No. 5
Vitei",Nintendo,No data,"Single-player, multiplayer"
Rise of Incarnates,Bandai Namco Games,Bandai Namco Games,No data,Multiplayer
Baldur's Gate: Enhanced Edition,Overhaul Games,Atari,No data,"Single-player, multiplayer"
Smite,Hi-Rez Studios[1],"Hi-Rez Studios (WW)[1]
Tencent Holdings Ltd. (CH)[2]
Level Up! Games (LA)[3]",No data,Multiplayer[1]
Octodad: Dadliest Catch,"Young Horses, Inc.","Young Horses, Inc.",No data,"Single-player, co-op"
Just Dance 2015,"Ubisoft Paris
Ubisoft Milan
Ubisoft Reflections
Ubisoft Pune",Ubisoft,No data,No data
Rhythm Thief & the Emperor’s Treasure,"Sega
Xeen",Sega,No data,"Single player, Multiplayer (2 players)"
Never Alone,"Upper One Games, E-Line Media",E-Line Media,No data,"Single-player, cooperative"
BlayzBloo: Clone Phantasma,Arc System Works,Arc System Works,No data,"Single-player, Multiplayer"
Murdered: Soul Suspect,Airtight Games,Square Enix,No data,Single-player
Warface,Crytek Kiev,"CH Tencent Holdings
SK Tencent Holdings
TW Tencent Holdings
CIS Mail.Ru
NA Trion Worlds
EU Trion Worlds
AU Trion Worlds
NZ Trion Worlds
SK Nexon
WW Microsoft Studios (X360)",No data,"Co-op, multiplayer"
Persona Q: Shadow of the Labyrinth,Atlus,"JP/NA Atlus


KOR Nintendo


PAL NIS America",No data,Single-player
Project CARS,Slightly Mad Studios,Slightly Mad Studios,No data,"Single-player, multiplayer"
Guacamelee!,Drinkbox Studios,"Drinkbox Studios,
Activision (Xbox 360)[1]",No data,"Single-player, co-op"
The Last of Us,Naughty Dog,Sony Computer Entertainment,No data,"Single-player, multiplayer"
Soul Saga: Episode 1,Disastercake,No data,No data,Single player
Strider,"Double Helix Games
Capcom Osaka studio[1]",Capcom,No data,Single-player
Fract OSC,Phosfiend Systems,No data,No data,Single player
Pac-Man and the Ghostly Adventures 2,"Monkey Bar Games,
Bandai Namco Studios",Bandai Namco Games,No data,"Single-player, multiplayer"
Age of Wonders III,Triumph Studios,Triumph Studios,No data,"Single-player, multiplayer"
Tenkai Knights: Brave Battle,Bandai Namco Games,Bandai Namco Games,No data,"Single-player, multiplayer"
Among the Sleep,Krillbite Studios,No data,No data,Single-player
Rabbids Invasion: The Interactive TV Show,"Ubisoft Barcelona

Additional work by:

Ubisoft Paris
Ubisoft Casablanca",Ubisoft,No data,"Single-player, multiplayer"
Kung Fu Rabbit,cTools Studio,Bulkypix,No data,No data
The Evil Within,Tango Gameworks,Bethesda Softworks,No data,Single-player
Gone Home,The Fullbright Company,Midnight City (Wii U)[1],No data,Single-player
Sacred 3,Keen Games[1],Deep Silver,No data,"Single-player, Multiplayer"
Guilty Gear Xrd,Arc System Works Team Red,"Arcade
Sega
PlayStation 3, PlayStation 4

JP Arc System Works
NA Aksys Games",No data,"Single-player
Multiplayer"
Planetary Annihilation,Uber Entertainment,Uber Entertainment,No data,No data
JoJo's Bizarre Adventure: All Star Battle,CyberConnect2,Namco Bandai Games,No data,"Single-player, multiplayer"
1001 Spikes,Nicalis,Nicalis,No data,"Single-player, multiplayer"
NBA Live 15,EA Tiburon,Electronic Arts,No data,"Single-player, multiplayer"
Super Time Force,Capybara Games,No data,No data,Single-player
Castle of Illusion Starring Mickey Mouse,"Sega Studios Australia
Feral Interactive (OS X)[1]","Sega
Disney Interactive Studios
Feral Interactive (OS X)",No data,Single player
Deception IV: Blood Ties,Tecmo Koei,Tecmo Koei,No data,Single-player
Lego Batman 3: Beyond Gotham,Traveller's Tales,Warner Bros. Interactive Entertainment,No data,No data
Don't Starve (video game),Klei Entertainment,No data,No data,Single-player
Pac-Man Museum,Bandai Namco Games,Bandai Namco Games,No data,No data
Geometry Wars,Bizarre Creations,Microsoft Game Studios,No data,Single player
Quadrilateral Cowboy,Blendo Games,No data,No data,Single-player
The Golf Club,HB Studios,HB Studios,No data,"Single-player, Multiplayer"
H1Z1,Sony Online Entertainment,Sony Online Entertainment,No data,No data
Dragon Ball Z: Battle of Z,Artdink,Bandai Namco Games,No data,"Single player
Multiplayer
Online multiplayer"
Happy Wars,Toylogic,Microsoft Studios,No data,"Single-player, multiplayer"
Peggle 2,PopCap Games,Electronic Arts,No data,"Single-player, multiplayer"
Castlevania: Lords of Shadow 2,MercurySteam,Konami,No data,Single-player
Hyper Light Drifter,Heart Machine,No data,No data,Single-player
Unreal Tournament,Epic Games,No data,No data,No data
Arcana Heart 3,Examu,"Examu (Arcade)
Arc System Works (Console Versions)

NA Aksys Games


EU Zen United, NIS America (LOVE MAX!!!!! version)",No data,Up to 2 players simultaneously
2014 FIFA World Cup Brazil,EA Canada,EA Sports,No data,"Single-player, Multiplayer"
Killer Instinct,"Double Helix Games[1][2]
Iron Galaxy Studios[3]
Rare Ltd.[4]
Microsoft Studios[5][6]",Microsoft Studios,No data,"Single-player, multiplayer"
Conception II: Children of the Seven Stars,Spike Chunsoft[1],"JP Spike Chunsoft
NA Atlus[1]
EU Atlus[2]",No data,Single-player
Colin McRae Rally series,"Codemasters, Ideaworks Game Studio (N-Gage version)
Feral Interactive (Mac OS X)","Codemasters
Feral Interactive (Mac OS X)",No data,No data
Tales of Xillia 2,Bandai Namco Games,Bandai Namco Games,No data,"Single player, co-op multiplayer"
Final Fantasy XIII,Square Enix,Square Enix,No data,Single-player
Ryse: Son of Rome,Crytek Frankfurt,"Microsoft Studios (Xbox One)
Crytek (PC digital)
Deep Silver (PC retail)",No data,"Single-player, multiplayer"
Ace Combat Infinity,Namco,Bandai Namco Games,No data,"Single-player, multiplayer"
Story of Seasons,Marvelous AQL,"JP Marvelous AQL
NA Xseed Games",No data,Single-player
Shadows: Heretic Kingdoms,Games Farm,bitComposer Games,No data,No data
"Sir, You Are Being Hunted",Big Robot,No data,No data,Single-player
NBA 2K15,Visual Concepts,2K Sports,No data,"Single-player, multiplayer"
"Sonic Boom: Rise of Lyric
Sonic Boom: Shattered Crystal","Big Red Button Entertainment (Wii U)
Sanzaru Games (3DS)",Sega,No data,No data
Starbound,Chucklefish Games,Chucklefish Games,No data,"Single-player, multiplayer"
Sherlock Holmes: Crimes and Punishments,Frogwares,Focus Home Interactive,No data,Single-player
Entwined,Pixelopus,Sony Computer Entertainment,No data,Single-player
Minecraft,"Mojang
4J Studios (console versions[1])","Mojang (PC, Mobile)
Microsoft Studios (Xbox 360, Xbox One, Windows Phone)
Sony Computer Entertainment (PS3, PS4, PS Vita)",No data,"Single-player, multiplayer"
Minecraft,"Mojang
4J Studios (console versions[1])","Mojang (PC, Mobile)
Microsoft Studios (Xbox 360, Xbox One, Windows Phone)
Sony Computer Entertainment (PS3, PS4, PS Vita)",No data,"Single-player, multiplayer"
The Unfinished Swan,"Giant Sparrow
SCE Santa Monica Studio",Sony Computer Entertainment,No data,Single-player
One Piece: Romance Dawn,Three Rings[1],Namco Bandai Games,No data,Single Player
KickBeat,Zen Studios,"Zen Studios
SCEA",No data,"Single-player, multiplayer"
Transistor,Supergiant Games,Supergiant Games,No data,Single-player
Yaiba: Ninja Gaiden Z,"Team Ninja
Spark Unlimited
Comcept",Tecmo Koei,No data,Single-player
Secrets of Rætikon,Broken Rules,Broken Rules,No data,Single-player
Futuridium EP Deluxe,MixedBag,MixedBag,No data,Single-player
Earth Defense Force 2025,Sandlot,D3 Publisher,No data,"Single-player, multiplayer"
The Legend of Korra,Platinum Games,Activision,No data,Single-player
Mario Golf: World Tour,Camelot Software Planning,Nintendo,No data,"Single-player
Multiplayer"
World of Tanks: Xbox 360 Edition,Wargaming West,No data,No data,Multiplayer
Godus,22Cans,22Cans,No data,No data
Gravity Crash,Just Add Water Ltd.,Sony Computer Entertainment,No data,"Single-player, multiplayer"
Fez,Polytron Corporation,"Microsoft Studios
Polytron Corporation
Trapdoor",No data,Single-player
Toxikk,Reakktor,No data,No data,No data
"Hatsune Miku: Project DIVA ƒ
Hatsune Miku: Project DIVA F","Sega
Crypton Future Media",Sega,No data,Single-player
Nihilumbra,BeautiFun Games,No data,No data,Single-player
Infamous Second Son,Sucker Punch Productions,Sony Computer Entertainment,No data,Single-player
Sniper Elite III,Rebellion Oxford,"505 Games
Rebellion Developments (PC version)",No data,"Single-player, multiplayer, co-op"
The Walking Dead: Season Two,Telltale Games,Telltale Games,No data,Single-player
Sunset Overdrive,Insomniac Games,Microsoft Studios,No data,"Single-player, co-operative"
The Witch and the Hundred Knight,Nippon Ichi Software,NIS America,No data,Single-player
Assassin's Creed IV: Black Flag,"Ubisoft Montreal

Additional work by:

Ubisoft Annecy
Ubisoft Bucharest
Ubisoft Kiev
Ubisoft Milan
Ubisoft Montpellier
Ubisoft Quebec
Ubisoft Singapore
Ubisoft Sofia",Ubisoft,No data,"Single-player, multiplayer[13]"
Elite: Dangerous,Frontier Developments,No data,No data,"Single-player,[10] Multiplayer"
PixelJunk Shooter 2,"Q-Games
Double Eleven","JP Q-Games
NA SCEA
PAL SCEE",No data,"Single-player, Cooperative Multiplayer, Competitive Multiplayer"
Hyperdimension Neptunia,"Idea Factory
Compile Heart
Felistella (PS Vita)","JP Compile Heart
NA NIS America
EU Tecmo Koei[1]


NA Idea Factory International (PS Vita)",No data,Single-player
Hitman: Absolution,IO Interactive,Square Enix,No data,"Single-player, multiplayer"
Castlevania: Lords of Shadow – Mirror of Fate,MercurySteam,Konami,No data,Single-player
Tomodachi Life,Nintendo SPD,Nintendo,No data,Single-player
Tales from the Borderlands,"Telltale Games

Additional work by:

Gearbox Software",Telltale Games,No data,Single-player
Legend of Grimrock,Almost Human Ltd.,Almost Human Ltd.,No data,Single-player
Loadout,Edge of Reality,Edge of Reality,No data,Multi-player
RollerCoaster Tycoon 4 Mobile,On5 Games,"Atari, Inc.",No data,Single-player
Deus Ex: Human Revolution,Eidos Montreal,Square Enix,No data,Single-player
Shovel Knight,Yacht Club Games,Yacht Club Games,No data,"Single-player, multiplayer"
The Sims 4,"EA Maxis
The Sims Studio",Electronic Arts,No data,Single-player
D4: Dark Dreams Don't Die,Access Games,Microsoft Studios,No data,Single-player[2]
"Super Smash Bros. for Nintendo 3DS
Super Smash Bros. for Wii U","Sora Ltd.[2]
Bandai Namco Games",Nintendo,No data,"Single-player
Multiplayer"
Persona 4 Arena Ultimax,"Arc System Works,
Atlus","Atlus

EU Sega",No data,No data
Monster Hunter Freedom Unite,Capcom,Capcom,No data,"Single-player, multiplayer"
"Super Smash Bros. for Nintendo 3DS
Super Smash Bros. for Wii U","Sora Ltd.[2]
Bandai Namco Games",Nintendo,No data,"Single-player
Multiplayer"
Hearthstone: Heroes of Warcraft,Blizzard Entertainment,Blizzard Entertainment,No data,No data
Fable,"Big Blue Box (Original)
Lionhead Studios (Lost Chapters/Anniversary)
Robosoft Technologies (Mac OS X)","Microsoft Game Studios
Feral Interactive (Mac OS X)",No data,Single player
Just Dance Now,"Ubisoft Massive
Ubisoft Milan",Ubisoft,No data,"Single-player, Multiplayer"
BioShock Infinite: Burial at Sea,Irrational Games,2K Games,No data,Single-player
