title,developer,publisher,release_date,mode,box_art_url
FTL: Faster Than Light,Subset Games,No data,09/14/12,Single-player,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/FTL_Faster_Than_Light_Logo.jpg/250px-FTL_Faster_Than_Light_Logo.jpg
Banished,Shining Rock Software,No data,02/18/14,Single-player,https://upload.wikimedia.org/wikipedia/en/thumb/6/65/Banished_logo.jpg/220px-Banished_logo.jpg
Runemaster,Paradox Development Studio,Paradox Interactive,No data,Single player,No URL Found
Race the Sun,Flippfly,No data,08/19/13,Single-player,https://upload.wikimedia.org/wikipedia/en/thumb/b/b6/Race_the_Sun_Coverart.png/250px-Race_the_Sun_Coverart.png
Armikrog,Pencil Test Studios,Pencil Test Studios,No data,Single-player,No URL Found
The Room,Fireproof Games,Fireproof Studios,09/01/12,Single-player,https://upload.wikimedia.org/wikipedia/en/thumb/c/cb/The_room_2012_vg_cover.png/252px-The_room_2012_vg_cover.png
Devil's Third,"Valhalla Game Studios
Nintendo SPD",Nintendo,No data,"Single-player, multiplayer",https://upload.wikimedia.org/wikipedia/en/thumb/2/2b/Devil%27s_Third.png/220px-Devil%27s_Third.png
Divekick,"One True Game Studios
Iron Galaxy Studios","Iron Galaxy Studios
Square-Enix ",08/20/13,"Single-player, multiplayer",https://upload.wikimedia.org/wikipedia/en/thumb/0/0d/Divekicklogo.jpg/250px-Divekicklogo.jpg
Ori and the Blind Forest,Moon Studios,Microsoft Studios,No data,Single-player,https://upload.wikimedia.org/wikipedia/en/b/b2/Ori_and_the_Blind_Forest_Logo.jpg
BioShock Infinite,Irrational Games,2K Games,03/26/13,Single-player,https://upload.wikimedia.org/wikipedia/en/a/a3/Official_cover_art_for_Bioshock_Infinite.jpg
Lego Ninjago: Nindroids,"Hellbent Games
Traveller's Tales","TT Games
Warner Bros. Interactive Entertainment
The Lego Group",07/29/14,Single-player,https://upload.wikimedia.org/wikipedia/en/5/5f/LegoNInjagoNindriodsBoxart.png
The Amazing Spider-Man 2,"Beenox
High Voltage Software 
Gameloft ",Activision,04/17/14,Single-player,https://upload.wikimedia.org/wikipedia/en/thumb/0/01/TASP2-game.png/220px-TASP2-game.png
Worms Battlegrounds,Team17,Team17,06/03/14,"Single-player, Multiplayer",No URL Found
Lone Survivor,Superflat Games,"Superflat Games
Curve Studios ",03/27/12,Single-player,https://upload.wikimedia.org/wikipedia/en/8/82/Lone_Survivor_game.png
Rocksmith 2014,Ubisoft San Francisco ,Ubisoft,10/25/13,No data,https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Rocksmith_2014_cover.jpg/250px-Rocksmith_2014_cover.jpg
Scivelation,Black Wing Foundation,TopWare Interactive,No data,Single-player,No URL Found
Tomb Raider,"Crystal Dynamics

Additional work by:

Eidos Montreal 
Nixxes Software BV 
United Front Games 
Feral Interactive ","Square Enix
Feral Interactive ",03/05/13,"Single-player, multiplayer",https://upload.wikimedia.org/wikipedia/en/f/f1/TombRaider2013.jpg
Disney Infinity: Marvel Super Heroes,"Avalanche Software

Additional work by:

Studio Gobo 
Ninja Theory","Disney Interactive Studios
Bandai Namco Games 
Microsoft Studios ",09/23/14,"Single-player, multiplayer2",https://upload.wikimedia.org/wikipedia/en/thumb/a/af/Disney_Infinity_2.0_Pack_Coverart.jpg/350px-Disney_Infinity_2.0_Pack_Coverart.jpg
Borderlands 2,"Gearbox Software
Aspyr Media 
Iron Galaxy Studios ",2K Games,09/18/12,"Single-player, multiplayer, co-op",https://upload.wikimedia.org/wikipedia/en/7/77/Borderlands2boxart3.jpg
Swords & Soldiers,"Ronimo Games 
Two Tribes ","Ronimo Games 
Chillingo ",05/15/09,"Single-player, multiplayer",https://upload.wikimedia.org/wikipedia/en/1/1c/Swords_%26_Soldiers_logo.png
Spelunky,"Derek Yu
Andy Hull
Blitworks ",Mossmouth,09/01/09,"Single-player, local co-op (enhanced version only)",https://upload.wikimedia.org/wikipedia/en/thumb/5/5b/Spelunky.jpg/220px-Spelunky.jpg
The Witcher 2: Assassins of Kings,CD Projekt RED,"POL cdp.pl
NA Atari, Inc
PAL Bandai Namco Games
JP CyberFront
Enhanced Edition
NA WB Games
PAL Bandai Namco Games
JP CyberFront 
JP Spike Chunsoft ",05/17/11,Single-player,https://upload.wikimedia.org/wikipedia/en/thumb/4/40/Witcher_2_cover.jpg/256px-Witcher_2_cover.jpg
Hotline Miami 2: Wrong Number,Dennaton Games,Devolver Digital,No data,Single-player,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Hotline_Miami_2_logo.jpg/250px-Hotline_Miami_2_logo.jpg
Tony Hawk's Pro Skater,"Neversoft 
Edge of Reality 
Natsume 
Treyarch 
IdeaWorks3D ","Activision 
Crave Entertainment 
Nokia ",03/30/00,"Single-player, multiplayer",https://upload.wikimedia.org/wikipedia/en/thumb/5/58/TonyHawksProSkaterPlayStation1.jpg/256px-TonyHawksProSkaterPlayStation1.jpg
Final Fantasy VI,"Square 
Tose ","SNES
Square
PlayStation

JP Square
NA Square Electronic Arts
EU Sony Computer Entertainment

Game Boy Advance

JP Square Enix
NA Nintendo
EU Nintendo",03/15/11,"Single-player, multiplayer",https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Final_Fantasy_VI.jpg/250px-Final_Fantasy_VI.jpg
Final Fantasy VI,"Square 
Tose ","SNES
Square
PlayStation

JP Square
NA Square Electronic Arts
EU Sony Computer Entertainment

Game Boy Advance

JP Square Enix
NA Nintendo
EU Nintendo",03/15/11,"Single-player, multiplayer",https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Final_Fantasy_VI.jpg/250px-Final_Fantasy_VI.jpg
Demon Gaze,"Kadokawa Games
Experience Inc.","JP Kadokawa Games
EU / NA NIS America",01/24/13,No data,https://upload.wikimedia.org/wikipedia/en/thumb/6/6e/Demon_Gaze_video_game_cover.png/256px-Demon_Gaze_video_game_cover.png
Stronghold Crusader II,Firefly Studios,Firefly Studios,09/23/14,"Single-player, multiplayer",https://upload.wikimedia.org/wikipedia/en/thumb/f/f5/StrongholdCrusader2_BoxArt.jpg/250px-StrongholdCrusader2_BoxArt.jpg
Dynasty Warriors 8,Omega Force,Tecmo Koei,02/28/13,"Single-player, Multiplayer, co-op",https://upload.wikimedia.org/wikipedia/en/b/bf/DynastyWarriors8.jpg
Rayman Legends,Ubisoft Montpellier,Ubisoft,08/29/13,"Single-player, co-op",https://upload.wikimedia.org/wikipedia/en/f/f6/Rayman_Legends_Box_Art.jpg
Akiba's Trip: Undead & Undressed,Acquire,"JP Acquire
NA Xseed Games
EU NIS America",11/07/13,Single-player,https://upload.wikimedia.org/wikipedia/en/6/60/Akiba%27s_Trip_2_Cover.jpg
Watch Dogs,Ubisoft Montreal,Ubisoft,05/27/14,"Single-player, multiplayer",https://upload.wikimedia.org/wikipedia/en/thumb/d/d9/Watch_Dogs_box_art.jpg/256px-Watch_Dogs_box_art.jpg
South Park: The Stick of Truth,"Obsidian Entertainment
South Park Digital Studios",Ubisoft,No data,Single-player,https://upload.wikimedia.org/wikipedia/en/f/f3/SouthParkTheStickOfTruth.jpg
Tales of Hearts,"Namco Tales Studio 
Bandai Namco Studios, 7th Chord ","Namco Bandai
Bandai Namco Games ",12/18/08,Single-player,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Tales_of_Hearts_R_cover.jpg/250px-Tales_of_Hearts_R_cover.jpg
Total War: Rome II,The Creative Assembly,Sega,09/03/13,"Single-player, multiplayer",https://upload.wikimedia.org/wikipedia/en/thumb/d/da/Total_War_Rome_II_cover.jpg/250px-Total_War_Rome_II_cover.jpg
F1 2013,"Codemasters Birmingham
Feral Interactive ","Codemasters
Feral Interactive 
Namco Bandai ",10/04/13,"Single-player, multiplayer",https://upload.wikimedia.org/wikipedia/en/thumb/7/79/F12013Cover.jpg/220px-F12013Cover.jpg
EverQuest Next,Sony Online Entertainment,Sony Online Entertainment,No data,No data,https://upload.wikimedia.org/wikipedia/en/4/49/EverQuest_Next_logo.png
Yoshi's New Island,Arzest,Nintendo,07/24/14,"Single-player, multiplayer",https://upload.wikimedia.org/wikipedia/en/8/81/Yoshinewislandboxart3ds.jpg
